Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to runs/329zxzu8\runs/329zxzu8_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m1,819/2,990,080 [0m [ [33m0:00:00[0m < [36m0:21:44[0m , [31m2,293 it/s[0m ]
| rollout/           |          |
|    time_elapsed         | 22           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0016929423 |
|    clip_fraction        | 0.0084       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.27        |
|    explained_variance   | 0.563        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.221        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0015      |
|    std                  | 1            |
|    value_loss           | 1.26         |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m20,251/2,990,080 [0m [ [33m0:00:25[0m < [36m1:03:17[0m , [31m782 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -201         |
| time/                   |              |
|    fps                  | 792          |
|    iterations           | 10           |
|    time_elapsed         | 25           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0010813808 |
|    clip_fraction        | 0.00347      |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.27        |
|    explained_variance   | -1.75        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.178        |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.000227    |
|    std                  | 1.01         |
|    value_loss           | 0.584        |
------------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m22,300/2,990,080 [0m [ [33m0:00:28[0m < [36m1:03:15[0m , [31m782 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -204        |
| time/                   |             |
|    fps                  | 791         |
|    iterations           | 11          |
|    time_elapsed         | 28          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.002322186 |
|    clip_fraction        | 0.0191      |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.28       |
|    explained_variance   | -0.243      |
|    learning_rate        | 0.0001      |
|    loss                 | 0.085       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00141    |
|    std                  | 1.01        |
|    value_loss           | 0.56        |
-----------------------------------------
[2K-----------------------------------------8;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m24,396/2,990,080 [0m [ [33m0:00:31[0m < [36m1:02:19[0m , [31m793 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -206        |
| time/                   |             |
|    fps                  | 790         |
|    iterations           | 12          |
|    time_elapsed         | 31          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.002902018 |
|    clip_fraction        | 0.0253      |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.28       |
|    explained_variance   | 0.525       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.146       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0025     |
|    std                  | 1.01        |
|    value_loss           | 0.436       |
-----------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m26,411/2,990,080 [0m [ [33m0:00:33[0m < [36m1:01:59[0m , [31m797 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -203         |
| time/                   |              |
|    fps                  | 788          |
|    iterations           | 13           |
|    time_elapsed         | 33           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0019068046 |
|    clip_fraction        | 0.00371      |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.28        |
|    explained_variance   | 0.851        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.272        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00111     |
|    std                  | 1.01         |
|    value_loss           | 1.18         |
------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m28,418/2,990,080 [0m [ [33m0:00:36[0m < [36m1:05:49[0m , [31m750 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -199         |
| time/                   |              |
|    fps                  | 783          |
|    iterations           | 14           |
|    time_elapsed         | 36           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0019241325 |
|    clip_fraction        | 0.00537      |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.28        |
|    explained_variance   | 0.589        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0735       |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.000845    |
|    std                  | 1.01         |
|    value_loss           | 0.438        |
------------------------------------------
[2K----------------------------------------38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m30,452/2,990,080 [0m [ [33m0:00:39[0m < [36m1:06:00[0m , [31m747 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -200       |
| time/                   |            |
|    fps                  | 782        |
|    iterations           | 15         |
|    time_elapsed         | 39         |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.00252064 |
|    clip_fraction        | 0.0184     |
|    clip_range           | 0.15       |
|    entropy_loss         | -4.3       |
|    explained_variance   | 0.767      |
|    learning_rate        | 0.0001     |
|    loss                 | 0.201      |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.00228   |
|    std                  | 1.02       |
|    value_loss           | 0.565      |
----------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m32,768/2,990,080 [0m [ [33m0:00:41[0m < [36m1:01:38[0m , [31m800 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -196         |
| time/                   |              |
|    fps                  | 782          |
|    iterations           | 16           |
|    time_elapsed         | 41           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0011049986 |
|    clip_fraction        | 0.00322      |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.913        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.124        |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.000782    |
|    std                  | 1.02         |
|    value_loss           | 0.498        |
------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m34,621/2,990,080 [0m [ [33m0:00:44[0m < [36m1:04:58[0m , [31m758 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -196         |
| time/                   |              |
|    fps                  | 782          |
|    iterations           | 17           |
|    time_elapsed         | 44           |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0021432154 |
|    clip_fraction        | 0.0136       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.32        |
|    explained_variance   | 0.664        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.139        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0021      |
|    std                  | 1.02         |
|    value_loss           | 0.412        |
------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m36,667/2,990,080 [0m [ [33m0:00:47[0m < [36m1:04:22[0m , [31m765 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -200         |
| time/                   |              |
|    fps                  | 781          |
|    iterations           | 18           |
|    time_elapsed         | 47           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0032399385 |
|    clip_fraction        | 0.0283       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.32        |
|    explained_variance   | -1.54        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.125        |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00246     |
|    std                  | 1.02         |
|    value_loss           | 0.443        |
------------------------------------------
[2K-----------------------------------------8;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m38,476/2,990,080 [0m [ [33m0:00:49[0m < [36m1:03:04[0m , [31m780 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -207        |
| time/                   |             |
|    fps                  | 781         |
|    iterations           | 19          |
|    time_elapsed         | 49          |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.003276177 |
|    clip_fraction        | 0.0205      |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.33       |
|    explained_variance   | -1.93       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.117       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00191    |
|    std                  | 1.02        |
|    value_loss           | 1.49        |
-----------------------------------------
[2K-----------------------------------------8;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m40,561/2,990,080 [0m [ [33m0:00:52[0m < [36m1:02:11[0m , [31m791 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -213        |
| time/                   |             |
|    fps                  | 782         |
|    iterations           | 20          |
|    time_elapsed         | 52          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.002113921 |
|    clip_fraction        | 0.0223      |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.32       |
|    explained_variance   | -0.299      |
|    learning_rate        | 0.0001      |
|    loss                 | 0.242       |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00238    |
|    std                  | 1.02        |
|    value_loss           | 1.1         |
-----------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m42,797/2,990,080 [0m [ [33m0:00:55[0m < [36m1:01:09[0m , [31m803 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -225         |
| time/                   |              |
|    fps                  | 780          |
|    iterations           | 21           |
|    time_elapsed         | 55           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0023801015 |
|    clip_fraction        | 0.0083       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.377        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0825       |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.000605    |
|    std                  | 1.02         |
|    value_loss           | 1.3          |
------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m45,021/2,990,080 [0m [ [33m0:00:57[0m < [36m1:02:05[0m , [31m791 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -222         |
| time/                   |              |
|    fps                  | 777          |
|    iterations           | 22           |
|    time_elapsed         | 57           |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0010970498 |
|    clip_fraction        | 0.00132      |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.912        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0536       |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.000437    |
|    std                  | 1.02         |
|    value_loss           | 0.663        |
------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m46,882/2,990,080 [0m [ [33m0:01:00[0m < [36m1:02:07[0m , [31m790 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -224         |
| time/                   |              |
|    fps                  | 777          |
|    iterations           | 23           |
|    time_elapsed         | 60           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0046026064 |
|    clip_fraction        | 0.0855       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.3         |
|    explained_variance   | 0.966        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.266        |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00524     |
|    std                  | 1.01         |
|    value_loss           | 0.272        |
------------------------------------------
[2K------------------------------------------;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m48,960/2,990,080 [0m [ [33m0:01:03[0m < [36m1:02:10[0m , [31m789 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -227         |
| time/                   |              |
|    fps                  | 776          |
|    iterations           | 24           |
|    time_elapsed         | 63           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0018637956 |
|    clip_fraction        | 0.013        |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.3         |
|    explained_variance   | 0.962        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0914       |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00136     |
|    std                  | 1.01         |
|    value_loss           | 0.555        |
------------------------------------------
[2K------------------------------------------;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m50,964/2,990,080 [0m [ [33m0:01:05[0m < [36m1:02:00[0m , [31m790 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -224         |
| time/                   |              |
|    fps                  | 774          |
|    iterations           | 25           |
|    time_elapsed         | 66           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0037519946 |
|    clip_fraction        | 0.0634       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.97         |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0303       |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00517     |
|    std                  | 1.02         |
|    value_loss           | 0.0965       |
------------------------------------------
[2K------------------------------------------;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m52,984/2,990,080 [0m [ [33m0:01:08[0m < [36m1:02:38[0m , [31m782 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -223         |
| time/                   |              |
|    fps                  | 773          |
|    iterations           | 26           |
|    time_elapsed         | 68           |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0024745099 |
|    clip_fraction        | 0.0176       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.729        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0975       |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.002       |
|    std                  | 1.02         |
|    value_loss           | 0.275        |
------------------------------------------
[2K------------------------------------------;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m55,293/2,990,080 [0m [ [33m0:01:11[0m < [36m1:02:26[0m , [31m784 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -225         |
| time/                   |              |
|    fps                  | 774          |
|    iterations           | 27           |
|    time_elapsed         | 71           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0023622385 |
|    clip_fraction        | 0.0153       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.3         |
|    explained_variance   | -0.273       |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0783       |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00173     |
|    std                  | 1.01         |
|    value_loss           | 0.469        |
------------------------------------------
[2K-----------------------------------------8;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m57,128/2,990,080 [0m [ [33m0:01:13[0m < [36m1:01:58[0m , [31m789 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -226        |
| time/                   |             |
|    fps                  | 774         |
|    iterations           | 28          |
|    time_elapsed         | 74          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.003373132 |
|    clip_fraction        | 0.041       |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.3        |
|    explained_variance   | 0.806       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.0316      |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00378    |
|    std                  | 1.01        |
|    value_loss           | 0.166       |
-----------------------------------------
[2K------------------------------------------;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m59,119/2,990,080 [0m [ [33m0:01:16[0m < [36m1:03:20[0m , [31m771 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -224         |
| time/                   |              |
|    fps                  | 772          |
|    iterations           | 29           |
|    time_elapsed         | 76           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0032116785 |
|    clip_fraction        | 0.0278       |
|    clip_range           | 0.15         |
|    entropy_loss         | -4.29        |
|    explained_variance   | 0.845        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.0945       |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.0026      |
|    std                  | 1.01         |
|    value_loss           | 0.463        |
------------------------------------------
[2K-----------------------------------------8;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m61,184/2,990,080 [0m [ [33m0:01:19[0m < [36m1:03:47[0m , [31m765 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -220        |
| time/                   |             |
|    fps                  | 772         |
|    iterations           | 30          |
|    time_elapsed         | 79          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.002073556 |
|    clip_fraction        | 0.00903     |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.089       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.136       |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00176    |
|    std                  | 1.01        |
|    value_loss           | 0.485       |
-----------------------------------------
[2K-----------------------------------------8;5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m63,253/2,990,080 [0m [ [33m0:01:22[0m < [36m1:03:46[0m , [31m765 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -219        |
| time/                   |             |
|    fps                  | 772         |
|    iterations           | 31          |
|    time_elapsed         | 82          |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.003252546 |
|    clip_fraction        | 0.0343      |
|    clip_range           | 0.15        |
|    entropy_loss         | -4.28       |
|    explained_variance   | 0.474       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.126       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00327    |
|    std                  | 1.01        |
|    value_loss           | 0.274       |
-----------------------------------------
[2K-------------------------------------------5;237m╺[0m[38;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m65,328/2,990,080 [0m [ [33m0:01:24[0m < [36m1:03:31[0m , [31m768 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -217          |
| time/                   |               |
|    fps                  | 772           |
|    iterations           | 32            |
|    time_elapsed         | 84            |
|    total_timesteps      | 65536         |
| train/                  |               |
|    approx_kl            | 0.00078866177 |
|    clip_fraction        | 0.000195      |
|    clip_range           | 0.15          |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.652         |
|    learning_rate        | 0.0001        |
